Data,Score,Item Id,Produto,Preço,Desconto,Sales,Comissão,Loja,Link
2026-05-13 13:35:42,23898.9,16692338189,Jogo de Lençol 400 Fios Micropercal Com Fronha em Ponto Palito,"R$13,80",54%,78873,14%,Casa_Completa_Enxovais,https://s.shopee.com.br/W3RImdrAA
2026-05-13 13:36:53,10507.0,22893738408,Kit Jogo de Lençol Roupa de Cama Box Berço Solteiro Casal Queen King 400 fios Toque Macio com Ponto Palito,"R$14,40",58%,34220,10%,Nosso Lar Enxovais,https://s.shopee.com.br/2qRNR3vhXm
2026-05-13 17:06:52,1949.8,22493572369,"Cortina Blackout Para Quarto Sala Cozinha PVC Corta 100% Luz 2,80 Largura X 2,30 Altura Grande","R$32,97",30%,5856,18%,MovicPets,https://s.shopee.com.br/Lk0Yz45oy
2026-05-18 08:24:28,1999.8,23297485141,"Creatina Monohidratada Pura Refil 1Kg Dark Lab - Creatine, Creatina 100% Pura","R$69,90",61%,5846,19%,Dark Lab Oficial,https://s.shopee.com.br/1LchIorUrt
2026-05-18 08:25:26,8134.6,22736011414,Lava Roupas Lavanderia Pro Líquido 7L Omo,"R$83,98",43%,26602,3%,Braslimpo,https://s.shopee.com.br/3qK2HTfkFf
2026-05-18 08:40:38,3566.2,58256439593,Percarbonato 100% Puro Tira Manchas Roupas Brancas e Coloridas,"R$17,99",47%,11214,8%,Papel fotografico e Papelaria,https://s.shopee.com.br/8V5rq4WNHL
2026-05-18 08:55:47,2617.0,23599260319,🔥KIT até 15 pares de Meia feminina soquete menor preço direto da fabrica Algodão,"R$19,50",50%,7950,17%,Shop Achados Meias,https://s.shopee.com.br/5ApPrvwfRe
2026-05-18 09:10:57,2147.5,23998797087,Calça Pantalona Lanzinha Feminina Cintura Alta Com Elastico De e Bolso Outono / Inverno Promoção,"R$31,98",60%,6325,15%,JORZEL FASHION,https://s.shopee.com.br/2g84tL6BWD
2026-05-18 09:26:30,2094.7,22697383155,Calça Pantalona Feminina Cintura Alta  Com Bolso Tecido Duna,"R$29,90",73%,6069,13%,ElisJeans,https://s.shopee.com.br/AUqwDkOlDX
2026-05-18 09:41:38,1984.4,21599079416,Conjunto Segunda Pele Térmica Flanelado Frio Intenso Preto Proteção Uv+50 Masculino Feminino Unissex,"R$29,88",59%,5798,12%,Fk Comercial,https://s.shopee.com.br/4Awsg60TTM
2026-05-18 09:56:48,1939.6,22593111157,Legging Flare Plus Size Flanelada Calça Leg Boca De Sino Bailarina Grossa Zero Transparência Cós Alto,"R$35,90",70%,5572,13%,Joy Jeans,https://s.shopee.com.br/9ALYdIGdah
2026-05-18 10:11:58,1725.6,23293957278,"Meia-calça térmica preta com forro peluciado –De Lã  quente para o inverno 2025,Feminina","R$29,60",63%,4872,23%,ZIP COMERCIO,https://s.shopee.com.br/7fWkqWeLnj
2026-05-18 10:27:33,1498.2,21199079024,Capa Capinha Transparente Magsafe Magnética Para iPhone XR 11 12 13 14 15Promax 16 16Promax 17 17Promax,"R$8,99",45%,4274,11%,KIKIMALL,https://s.shopee.com.br/qgQhymMVI
2026-05-18 10:42:42,1485.5,14368641482,"Kit 15,12 ou 6 Pares de Meias Cano Alto/Médio Algodão Unissex 36-42","R$14,89",50%,4195,12%,tech&shop,https://s.shopee.com.br/9UyP1uSZFN
2026-05-18 10:46:23,1072.8,47806720849,Blusa Masculina Manga Longa Gola Redonda Suéter Tricot Listrado Inverno Casual Quente,"R$69,90",36%,1806,18%,Vitrine_Outlet_,https://s.shopee.com.br/LkA73WfON
2026-05-18 11:01:32,410.3,40776201401,Meias Premium Unissex Lupo 6-Pack – Medyas De Algodão De Cano Médio Com Estampa De Ícone Minimalista Para Negócios E Uso,"R$23,31",86%,421,13%,Choice Oficial,https://s.shopee.com.br/3g0cEqpPgQ
2026-05-18 11:16:45,308.1,58257150018,Kit 2 Blusa Masculina Manga Longa Gola Redonda Suéter Tricot Listrado Inverno Casual,"R$129,90",32%,387,18%,Vitrine_Outlet_,https://s.shopee.com.br/7AaUFbT3Tz
2026-05-18 11:25:25,2344.45,41073261964,"Magnésio e Inositol 210g Melatonina 0,21mg Body Action - Original","R$62,89",26%,4877,11%,DaFabricaSuplementos,https://s.shopee.com.br/809bF5ar99
2026-05-18 11:40:38,1421.1,9987415279,Kit Whey Protein Fusion + Bcaa + Creatina + Shaker,"R$79,99",20%,2838,13%,Espartanos Suplementos,https://s.shopee.com.br/4ft9GxnXux
2026-05-18 11:55:47,1283.4,22993747475,Kit 4 Peças Conjunto Infantil Estampa Los Angeles Moletom Flanelado 1/8 Menino e Menina Casaco/Calça,"R$94,99",21%,2518,18%,Seu Bebê Loja | Roupa Para Bebê,https://s.shopee.com.br/4Awsg2geM5
2026-05-18 12:11:00,934.4,58253775791,Jaqueta Puffer  Feminino Casaco de Frio Impermeável Bobojaco Com Touca Removivel Intenso,"R$79,99",64%,1616,19%,Algo tão Doce NS,https://s.shopee.com.br/2g84xY7JKE
2026-05-18 12:26:33,757.95,23498370145,Lavadora de Alta Pressão Potente Compacta 1200W Porta Detergente Lav1300 Vonder,"R$314,90",21%,1437,9%,Eletricario Loja Oficial,https://s.shopee.com.br/8fPI2Itl5U
2026-05-18 12:41:42,694.4,23192804942,Creatina Monohidratada 100% Pura - Max Titanium,"R$44,33",26%,1188,11%,xtuned_store2,https://s.shopee.com.br/8KmRdgaGbB
2026-05-18 12:56:51,443.5,23498379918,Blusa de frio feminina estilo blogueira com trança tendência 2025 blusa tricot manga bufante,"R$47,99",26%,666,15%,AUSTRALISMODAS,https://s.shopee.com.br/4LGIsLJfoJ
2026-05-18 13:12:04,423.5,26084499326,Tábua De Corte 304 Aço Inoxidável Antibacteriana À Prova De Mofo 46 cm tábua de cozinha,"R$36,89",29%,624,10%,richify.br,https://s.shopee.com.br/8fPI2ImCF7
2026-05-18 13:27:35,313.9,5871887664,Kit 4 Peças Edredom Oliveira Queen Menor Preço,"R$79,90",25%,452,13%,CasaLauraEnxovais,https://s.shopee.com.br/4AwskJ1bHP
2026-05-18 13:42:44,296.0,40650367303,"Um Novo Suéter Grosso De Gola Alta Para Mulheres No Inverno 2026 , Combinado Com Elegante top Térmico De Outono E","R$79,84",20%,420,16%,COCO & LULU FASHION STORE,https://s.shopee.com.br/1qYxtkyKf2
2026-05-18 13:57:56,242.9,44805608370,Calça Wide Leg Jeans Marmorizada Premium Levanta Bumbum Cintura Alta Perna Larga Calça Pantalona,"R$65,63",27%,284,15%,Mundo Jeans Premium,https://s.shopee.com.br/3g0cDYPuji
2026-05-18 14:13:06,236.2,20953910944,Creatina Monohidratada 300g Dux Human Health 100% Pura,"R$79,99",20%,296,12%,DaFabricaSuplementos,https://s.shopee.com.br/3qK2HQUNOI
2026-05-18 14:28:39,229.3,22098776751,Creatina Pura 300g - Black Skull,"R$36,00",20%,234,23%,Armazém Pura Saúde,https://s.shopee.com.br/W3aJIh49q
2026-05-18 14:43:51,225.55,23198093485,Kit Pneu Pretinho Shampoo V-Floc Cera Tok Final Carnauba Vonixx,"R$109,90",24%,283,12%,Patron - Distribuidora VONNIX,https://s.shopee.com.br/3g0c56ic7v
2026-05-18 14:59:01,212.0,47109950810,Kit Figurinhas Envelopes Pacotinhos Do Album Copa Do Mundo 2026 FIFA Original Panini,"R$49,99",21%,326,3%,GrilandaShop,https://s.shopee.com.br/3B4LUBkW8s
2026-05-18 15:14:13,206.85,58259040527,Caixa Porta Figurinhas Copa do Mundo 2026 Maleta Grande Cabem 500 Figurinhas,"R$40,25",28%,161,23%,QORA STUDIO,https://s.shopee.com.br/50VzfYmxMD
2026-05-18 15:29:50,182.55,22494346815,Creatina em Gomas  60 unidades |  Gummy  Sabor morango 100% pura importada,"R$74,00",26%,115,32%,M&MCOMERCIO,https://s.shopee.com.br/10zquDMweJ
2026-05-18 15:45:01,175.9,40480210628,Album Copa Do Mundo 26 Panini Oficial Capa Mole + Kit com Figuinhas Oficiais,"R$69,97",27%,144,11%,CONECTA.MIX,https://s.shopee.com.br/9KeypWjetB
2026-05-18 16:00:13,2783.1,58256271370,Jaqueta Masculina Gola Alta com Faixas Dryfit Moda Outono/Inverno 2K26,"R$42,99",28%,5866,7%,L N Confecções,https://s.shopee.com.br/8KmRdkuNFj
2026-05-18 16:15:26,2439.95,22193204213,Capa de Cobrir Moto em Couro Forrada Impermeável Anti-Uv Protetora Anti-Risco,"R$39,90",27%,5053,16%,MAR.KIO ECOMMERCE,https://s.shopee.com.br/4VZjLG8Mj3
2026-05-18 16:30:59,2120.25,21798273301,Kit 3 Calças Feminina Legging Grossa Para Academia Fitness Cós Alto,"R$63,99",20%,4385,16%,Moda Peres,https://s.shopee.com.br/2BBoYyYZXS
2026-05-18 16:46:09,2095.6,22197514607,Ventilador de Mesa Prime Air Maxx Force 6 pás 60W AVTE01,"R$109,90",27%,4450,3%,Britânia Oficial,https://s.shopee.com.br/2BBoYz7QUd
2026-05-18 17:01:24,1847.2,20173317359,Conjunto Moletom Blusa De Frio + Calça Abrigo Modelo Canguru com Cordinha Neon Estampado,"R$109,90",27%,3898,3%,LOJAS NEW PLANET // BORZZI WEAR,https://s.shopee.com.br/9Kez697I03
2026-05-18 17:16:33,1460.0,22594669847,Bomba de Ar Portatil Compressor Inflator Multi-função 4 em 1 PowerBank 8kmah Bateria Calibrador de Carro Auto Pneu,"R$76,98",23%,2958,9%,CASA TOP SHOP,https://s.shopee.com.br/6VKnSKoP5o
2026-05-18 17:32:08,1380.95,19297635132,Calça Legging Feminina Com Bolso Zero Transparência Cintura Alta Academia,"R$39,98",27%,2753,7%,Super Fitness,https://s.shopee.com.br/2Voeh26oqs
